Country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Finland,2.166221005,2.327009894,2.664998912,2.301719552,2.395215872,2.347339776,2.97611305,4.040852275,4.056150835,4.098000077,4.321015398,4.17654779,4.547493121,4.430000765,4.451773783,5.250930288,6.09183553,6.523831635,7.727910296,8.979888488,9.689607052,6.286048254,7.011650148,7.8794218,7.297448914,7.444538564,7.433883353,5.968231121,5.732587172,6.728064085,#N/A,#N/A,#N/A
France,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,23.33071933,28.40456069,28.39011983,28.33456169,30.05710664,29.60251617,29.53454195,28.95991048,30.48918794,35.81317173,41.37084216,43.43542451,47.9012852,53.97307115,59.4504995,46.4112811,51.16510427,58.57238238,55.84605455,56.79876975,56.66561654,49.39412142,48.88850724,52.33851333,#N/A,#N/A,#N/A
French Guiana,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.014886019,0.015816803,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
French Southern and Antarctic Lands,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.025115512,0.022164262,0.025208176,0.024889445,0.022252863,0.017556334,0.016679052,0.014989956,0.018531211,0.021028656,0.018631562,0.016704665,0.020668094,0.014827099,0.015319089,0.014981786,0.013903234,0.015148805,0.017009723,0.013019377,#N/A,#N/A,#N/A,#N/A,#N/A
Gabon,#N/A,#N/A,#N/A,#N/A,#N/A,0.263701914,0.239103795,#N/A,0.314560282,0.263111167,0.260277353,0.20721179,0.260148408,0.252087226,0.241112983,0.282685208,0.277620203,0.506841176,0.601540991,0.630202482,0.956594426,0.535597781,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gambia,#N/A,#N/A,#N/A,#N/A,#N/A,0.263701914,0.239103795,#N/A,0.314560282,0.263111167,0.260277353,0.20721179,0.260148408,0.252087226,0.241112983,0.282685208,0.277620203,0.506841176,0.601540991,0.630202482,0.956594426,0.535597781,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Georgia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.019876552,0.023978624,0.019232251,0.023816619,0.032274868,0.031763611,0.034593348,0.046140561,0.064690296,0.08654542,0.093513922,0.123236113,0.14974846,0.113362937,0.167729883,0.218640741,0.237663436,0.291058172,0.28610433,0.220467625,0.21137339,0.27357706,#N/A,#N/A,#N/A
Germany,32.3196113,34.1098833,39.8381175,40.2532045,43.0276307,38.0074808,42.7100056,52.3696751,52.41659842,51.24402708,54.35552563,54.28355727,54.9606741,57.142672,61.5997391,74.8531267,91.1742096,97.7131972,112.1962887,132.8841354,145.746295,112.5844048,126.7743109,148.3802558,141.2396694,145.0937515,149.8238432,132.8500249,133.7236558,144.6642435,#N/A,#N/A,#N/A
Ghana,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.246695117,0.163469581,0.115798515,0.126973414,0.1574113,0.103837452,#N/A,0.232429906,0.245054293,0.305974345,0.361399366,0.353379202,0.403292653,0.507053331,0.523339006,1.814665269,1.576118404,1.264389938,#N/A,#N/A,1.065579641,1.435850995,#N/A,#N/A,#N/A
Greece,0.543028736,0.754319514,0.805965005,#N/A,0.983826022,0.878370611,0.939898381,1.09546199,1.187959398,1.116698931,1.086773555,1.103507389,1.084742272,1.040239119,1.032736139,1.365506587,1.52467058,1.743444663,2.094276176,2.350415636,3.112743655,2.4236625,2.758569554,3.337703876,3.515114615,3.626164404,3.575537147,2.828923658,2.781092484,3.215481641,#N/A,#N/A,#N/A
Greenland,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.030674144,0.036364262,0.036921014,0.028520806,0.025528939,0.028945859,0.027132923,0.026773806,0.030537045,0.034855555,0.036479332,0.040203963,0.040983441,0.043112893,0.049015553,0.037328849,0.038863996,0.049367104,0.047777126,0.054182112,0.055651002,0.040630168,0.057533317,0.059583719,#N/A,#N/A,#N/A
Guatemala,#N/A,#N/A,#N/A,#N/A,#N/A,0.13382167,0.150244506,0.193551142,0.203072858,0.234407859,0.258166963,0.245821004,#N/A,0.241167754,0.246156607,0.263452046,0.292835442,0.53808156,0.319808386,0.689853985,0.773669657,0.720858598,0.84601527,1.016104102,1.012455473,1.00653286,1.089069074,1.067739446,1.05913296,1.10113914,#N/A,#N/A,#N/A
Guinea,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.07018608,0.07092368,0.068446272,0.056285869,0.047387165,0.052946578,0.057278149,0.052659296,#N/A,0.062866412,0.079573159,0.077049081,0.105898294,0.143053508,#N/A,#N/A,#N/A,#N/A,0.178048353,0.194666759,0.15736752,#N/A,#N/A,#N/A,#N/A,#N/A
Guinea Bissau,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.07018608,0.07092368,0.068446272,0.056285869,0.047387165,0.052946578,0.057278149,0.052659296,#N/A,0.062866412,0.079573159,0.077049081,0.105898294,0.143053508,#N/A,#N/A,#N/A,#N/A,0.178048353,0.194666759,0.15736752,#N/A,#N/A,#N/A,#N/A,#N/A
Guyana,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0536224,0.0501588,0.047420288,0.052040951,0.048123073,0.044651999,0.047331293,0.05446871,0.05386517,0.05673849,0.078471351,0.083021428,0.078838515,0.090075425,0.1178649,0.14366,0.137594009,0.117404991,0.116936727,0.145263156,0.178968991,#N/A,#N/A,#N/A
Haiti,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0536224,0.0501588,0.047420288,0.052040951,0.048123073,0.044651999,0.047331293,0.05446871,0.05386517,0.05673849,0.078471351,0.083021428,0.078838515,0.090075425,0.1178649,0.14366,0.137594009,0.117404991,0.116936727,0.145263156,0.178968991,#N/A,#N/A,#N/A
Honduras,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.061404755,0.065601062,0.131599731,0.144569843,0.153279142,0.116439437,0.135869548,0.114856133,0.096542662,0.099197187,0.119441506,0.129442489,0.187966074,0.239143938,#N/A,0.259532539,0.310368295,0.353356103,0.469617366,#N/A,0.453334764,0.420147338,0.408464192,0.49701444,#N/A,#N/A,#N/A
Hungary,#N/A,#N/A,#N/A,#N/A,1.005497549,0.824005888,1.0699843,1.24520233,1.263279411,1.909919334,2.300502221,2.5012186,2.8092242,3.0497719,3.4336583,4.3003656,5.5468212,6.2271839,7.4055406,9.459087,10.8211166,8.2571847,9.4748737,11.1216834,10.28298043,10.80146375,11.25362438,10.02968473,10.30095083,11.33820774,#N/A,#N/A,#N/A
Iceland,0.150281613,0.140122112,0.158638848,0.157145024,0.15270752,0.139932288,0.162666726,0.180250547,0.189708134,0.185141734,0.193122547,0.200971584,0.19008813,0.20171079,0.222930492,0.238047479,0.288986254,0.309052557,0.345314617,0.477204301,0.535542984,0.405696169,0.460308948,0.534879118,0.506344169,0.499771043,0.505129975,0.472198495,0.444972975,0.488260589,#N/A,#N/A,#N/A
