Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Guinea,0.363,0.368,0.376,0.388,0.457,0.466,0.474,0.477,0.488,0.491,0.495,0.5,0.502,0.507,0.509,0.522,0.527,0.62,0.643,0.725,0.743,0.933,0.984,0.865,0.942,0.881,0.843,0.942,0.967,0.9629,0.9199,0.8499,0.7069,0.642,0.697,1.113,1.574,1.632,#N/A,#N/A,#N/A
Guinea Bissau,0.363,0.368,0.376,0.388,0.457,0.466,0.474,0.477,0.488,0.491,0.495,0.5,0.502,0.507,0.509,0.522,0.527,0.62,0.643,0.725,0.743,0.933,0.984,0.865,0.942,0.881,0.843,0.942,0.967,0.9629,0.9199,0.8499,0.7069,0.642,0.697,1.113,1.574,1.632,#N/A,#N/A,#N/A
Guyana,0.388,0.402,0.332,0.162,0.167,0.222,0.215,0.376,0.381,0.326,0.294,0.235,0.219,0.226,0.355,0.539,0.65,0.745,0.804,0.844,0.877,0.91,0.914,0.822,0.858,0.6502,0.6693,0.7044,0.7104,0.7255,0.7776,0.8138,0.846,0.872,0.886,0.9471,0.9901,1.0421,#N/A,#N/A,#N/A
Haiti,0.318,0.328,0.418,0.44,0.468,0.515,0.567,0.572,0.595,0.595,0.636,0.608,0.544,0.486,0.416,0.53,0.624,0.553,0.639,0.54,0.528,0.572,0.527,0.515,0.527,0.536,0.549,0.447,0.466,0.688,0.5609,0.6529,1.047,1.001,0.977,0.99,1.042,0.962,#N/A,#N/A,#N/A
Honduras,0.899,0.978,1.037,1.066,1.04,1.045,1.427,1.291,1.904,2.004,2.254,2.286,2.358,2.45,2.114,2.266,2.985,3.052,3.306,3.097,3.546,3.747,3.927,4.353,4.66,5.392,5.742,6.053,6.282,6.377,6.695,7.072,7.11,7.217,8.059,8.629,8.496,8.963,#N/A,#N/A,#N/A
Hungary,22.364,22.687,23.208,24.256,24.743,25.211,26.404,27.998,27.52,27.854,26.909,28.36,30.026,31.163,31.743,32.227,33.229,33.52,35.216,35.724,33.237,34.388,34.141,32.224,31.86,33.742,33.658,37.749,37.707,33.73,35.147,33.97,32.608,28.698,27.87,28.785,30.261,31.178,30.273,#N/A,#N/A
Iceland,3.148,3.268,3.585,3.777,3.925,3.852,4.063,4.157,4.42,4.479,4.468,4.452,4.503,4.682,4.735,4.933,5.075,5.534,6.225,7.128,7.62,7.967,8.346,8.429,8.552,8.616,9.857,11.893,16.343,16.711,16.746,16.851,17.296,18,17.805,18.558,18.172,18.846,19.608,#N/A,#N/A
India,119.26,131.12,139.41,144.987,161.739,174.93,191.896,208.235,229.432,255.104,275.495,300.311,315.973,339.347,366.118,396.074,412.682,441.169,470.765,504.536,537.653,556.823,576.5,614.472,644.833,675.669,727.421,775.893,803.657,866.005,916.261,1006.28,1053.412,1117.02,1213.776,1287.801,1367.483,1438.168,1486.539,#N/A,#N/A
Indonesia,12.786,15.362,17.661,18.281,20.088,26.396,30.27,32.034,36.555,36.974,43.071,45.968,48.767,52.029,57.781,56.956,64.049,73.011,74.828,80.728,88.519,96.124,102.596,108.432,113.836,121.012,126.692,135.854,142.4764,148.5161,161.009,173.609,189.253,204.478,215.624,221.306,234.727,241.326,#N/A,#N/A,#N/A
Iran,21.256,23.653,27.333,31.336,35.252,35.316,34.9,35.955,44.258,45.789,55.86,60.631,64.979,71.947,77.471,76.105,81.257,87.718,93.406,102.248,114.283,122.643,133.022,145.202,157.437,168.212,182.042,192.655,201.92,208.463,219.468,226.056,239.248,247.065,258.372,264.971,272.287,289.564,#N/A,#N/A,#N/A
Iraq,10.736,10.313,12.869,15.258,17.307,19.765,20.989,22.835,25.801,27.196,20.72,19.021,23.817,24.752,26.348,27.288,27.464,27.816,28.566,27.971,30.017,30.347,31.857,26.662,30.382,28.876,32.098,31.53,34.802,43.032,46.211,50.839,43.476,55.2,63.906,64.751,75.453,82.254,#N/A,#N/A,#N/A
Ireland,9.54,9.448,9.674,9.598,9.799,10.553,10.851,11.673,11.786,12.588,13.29,13.977,14.778,15.13,15.77,16.496,17.711,18.439,19.567,20.396,22.171,23.053,23.244,23.239,23.582,24.009,25.423,26.142,28.127,26.296,26.591,25.849,25.69,24.137,24.417,26.637,28.615,29.168,29.296,#N/A,#N/A
