Country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Greece,1.225495245,1.612710707,1.977700352,#N/A,2.345155584,2.200445338,2.149155686,2.59267584,2.841892454,2.697061786,3.026664243,3.043442278,2.948686011,2.843445594,3.129903601,4.485451986,5.28103852,5.489389732,6.373896386,7.609924607,9.434705593,7.153843805,6.645264292,6.669205602,6.250442705,6.114811984,6.218063637,4.726397967,4.759503542,5.530059755,#N/A,#N/A,#N/A
Greenland,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.03916192,0.042110554,0.046654394,0.03740711,0.039731933,0.041830331,0.036449486,0.034388992,0.041747536,0.052569394,0.059303339,0.069951259,0.068220407,0.077309099,0.092685808,0.077722214,0.08469789,0.100250488,0.086055032,0.095537699,0.086372562,0.06668108,0.073356408,0.076031197,#N/A,#N/A,#N/A
Guatemala,#N/A,#N/A,#N/A,#N/A,#N/A,0.266810189,0.264719206,0.329244493,0.314620186,0.385191834,0.465083034,0.455430831,#N/A,0.55973739,0.630063346,0.672152401,0.781160478,1.049953731,0.953973628,1.354430094,1.452150122,1.152136309,1.383031412,1.661081363,1.697868597,1.750397754,1.826324384,1.763708855,1.697867783,1.837791438,#N/A,#N/A,#N/A
Guinea,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.081850854,0.064766214,0.061970246,0.053657933,0.055592493,0.061636505,0.05974201,0.066796716,#N/A,0.095501007,0.164781612,0.106390366,0.128149628,0.183548311,#N/A,#N/A,#N/A,#N/A,0.24010473,0.250921014,0.213864779,#N/A,#N/A,#N/A,#N/A,#N/A
Guinea Bissau,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.081850854,0.064766214,0.061970246,0.053657933,0.055592493,0.061636505,0.05974201,0.066796716,#N/A,0.095501007,0.164781612,0.106390366,0.128149628,0.183548311,#N/A,#N/A,#N/A,#N/A,0.24010473,0.250921014,0.213864779,#N/A,#N/A,#N/A,#N/A,#N/A
Guyana,#N/A,#N/A,#N/A,0.02057761,0.036638336,#N/A,#N/A,#N/A,#N/A,0.0602336,0.0539803,0.047992899,0.057343053,0.058647966,0.056450499,0.055839496,0.066128945,0.077814126,0.089292737,0.102877844,0.134592984,0.117534859,0.145156169,0.176855468,0.199707383,0.186625508,0.178331084,0.14843466,0.162498585,0.176155283,#N/A,#N/A,#N/A
Haiti,#N/A,#N/A,#N/A,0.02057761,0.036638336,#N/A,#N/A,#N/A,#N/A,0.0602336,0.0539803,0.047992899,0.057343053,0.058647966,0.056450499,0.055839496,0.066128945,0.077814126,0.089292737,0.102877844,0.134592984,0.117534859,0.145156169,0.176855468,0.199707383,0.186625508,0.178331084,0.14843466,0.162498585,0.176155283,#N/A,#N/A,#N/A
Honduras,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.133459366,0.172751424,0.184010931,0.214736986,0.253395379,0.267367731,0.282610724,0.29267048,0.287509759,0.314243668,0.368524704,0.441936328,0.492056726,0.653036264,#N/A,0.592293755,0.689508828,0.854177859,0.864677579,#N/A,0.798362639,0.838067072,0.791204065,0.861224119,#N/A,#N/A,#N/A
Hungary,#N/A,#N/A,#N/A,#N/A,1.087358054,1.137608294,1.4553612,1.518556058,1.604264448,2.123401216,2.570639155,2.8008226,3.2080002,3.3681734,3.7611572,4.7674542,6.0248602,6.5919579,7.6978511,9.4659727,10.8784724,7.7272443,8.7432095,10.1369997,9.430066457,9.929590234,10.4178438,9.076085088,9.220966714,10.42837986,#N/A,#N/A,#N/A
Iceland,0.166655962,0.140062464,0.165934886,0.17390295,0.167994688,0.134940134,0.147237056,0.175133453,0.20415287,0.201947379,0.248282803,0.231548186,0.258298303,0.227933684,0.227353695,0.282652797,0.371283169,0.497889257,0.599111499,0.668969064,0.616592828,0.360398871,0.391434944,0.484576024,0.477191622,0.501924343,0.537191888,0.528537347,0.570324019,0.697076251,#N/A,#N/A,#N/A
