Country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Equatorial Guinea,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.1,1.6,4.5,5.010958904,5.001643836,17,52.42191781,83,102,167.5,181.4383562,212.5616438,206.4658767,368.2076503,375.4767123,362.8657534,368.5287671,359.203153,346.0160685,322.7103836,298.8880329,310.4,290.7972603,278,268,244,205.7780822,184.2328767,#N/A,#N/A
Eritrea,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.3,-0.3,-0.3,-0.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Estonia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.08259328,-0.066255651,#N/A,#N/A,#N/A,7.3,4.4,3,4.747,5.133617438,5.530404007,6.137964572,6.592042909,6.9,7.28,7.400021918,7.6,9,10,11,11,13,13,16,16,16,22,#N/A,#N/A
Ethiopia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.3,-0.3,-0.3,-0.3,-0.3,-0.05196,-0.1,-0.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.1,0.1,0.1,0.1,0.1,0.167,0.211,0.296,0.354,0.354,0.354,#N/A,#N/A
Falkland Islands,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Fiji,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Finland,#N/A,-0.4,0.8,2,3.1,4.2,4.2,4.8,5.4,5.4,5.2,5.7,6.6,7.4,7.5,8.9,9.2,8.9,8.4,9.1,9,8.279691257,7.80039726,9.012838356,9.284446575,9.155180328,9.171,10.111,9.789,8.718,9.541,16.195,14.727,15.878,17.436,18.484,18.484,12.582,18.196,18.196,#N/A,#N/A
France,#N/A,83,92,86,89,93,106,107,111,119,116,112,113,114,112,116.1534247,111.2547945,105.1639344,97.56575342,88.89315068,92.75287671,93.20904372,90.13302877,86.21381233,90.23642603,89.10493251,84.24973973,89.1989863,74.63250685,77.166,76.31168493,133.3539315,129.467137,125.1453661,127.3887397,128.9439863,132.3332329,133.0140328,121.1011233,116.5203014,#N/A,#N/A
French Guiana,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
French Southern and Antarctic Lands,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gabon,#N/A,176,152,157,158,158,173,166,155,159,208,270,294,297,312,328.4479452,364.5068493,368.0606557,370.2287671,351.6671233,330.8273973,314.7917563,269.8023495,251.048166,241.1596041,238.7711151,266.0289096,236.882726,243.896589,247.748612,241.9277671,245.2777123,240.7724247,229.617,219.546,219.576,212.9367671,210.4276721,198.4573151,195.4436164,#N/A,#N/A
Gambia,#N/A,176,152,157,158,158,173,166,155,159,208,270,294,297,312,328.4479452,364.5068493,368.0606557,370.2287671,351.6671233,330.8273973,314.7917563,269.8023495,251.048166,241.1596041,238.7711151,266.0289096,236.882726,243.896589,247.748612,241.9277671,245.2777123,240.7724247,229.617,219.546,219.576,212.9367671,210.4276721,198.4573151,195.4436164,#N/A,#N/A
Georgia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.9,2,1.808493151,1,1.2,2.675342466,2.191506849,2.2,1.990026984,2.10782512,1.462480402,2.780702262,1.979103122,1.977,0.995,0.984,0.979,0.993,1,1,1.007,1,1,0.793452055,0.394,0.394,0.394,#N/A,#N/A
Germany,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,148,132,137,138.5726027,138,137.4125683,134,140,141,150.9604208,146.6311103,154.3158856,160.0749925,147.3405383,177.5020274,193.1864247,145.4640274,154.6949672,157.2385068,215.117,222.087,215.367,212.8003836,207.6606712,207.6440137,311.7104317,207.6166986,211.0221781,#N/A,#N/A
Ghana,#N/A,2,2,2,2,2,1,0.2,0.09428577,0.0856578,-0.056671991,-0.041521985,0.2,1.2,1.8,1.4,4,6.6,5.2,5,6,7.131866035,7.183325133,7.433176945,7.47740982,8.573532222,7.399,7.081,7.691,7.227,6.888,8.514041096,77.77832877,79.25319126,98.86032877,105.7321781,103.1091644,99.11365574,151.7310822,173.5913562,#N/A,#N/A
Greece,#N/A,1,10,24,29,31,30,24,25,24,21,19,19,20,15,14.44657534,12.2,10.7,11.57945205,9.593150685,3.239726027,7.650546448,8.016152055,6.63619863,5.419312329,5.238136612,5.746493151,6.584356164,5.137575342,6.612,6.416671233,10.73024658,9.767684932,11.72739891,11.91957534,12.43864384,12.97671233,15.74813115,13.50442466,14.83319178,#N/A,#N/A
Greenland,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Guatemala,#N/A,5,5,6,7,5,3,5.1,4,3,4,3.9,4.4,4.6,6.8,8.091780822,9.428767123,12.63060109,16,23.76712329,22.8,20.50403541,20.94088332,17.90308342,21.99452055,19.81147541,17.17342466,21.46465753,18.7408,18.44208197,16.544,11.97118904,10.96736986,12.58269672,12.05359452,12.47278356,12.74593699,12.03270219,13.68375342,13.59334247,#N/A,#N/A
Guinea,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Guinea Bissau,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
